Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Strategic Roadmap | Colleen Feldhausen, Director of Patient & Family Experience ",,,"Hi Colleen, I referenced some notes from last fall and you corresponded with a colleague of mine that you were not in a position to connect due to wearing many hats within your org. You mentioned that the following year would be better timing. Emily and I are now aligned with the Qualtrics UW Health relationship. We'd appreciate the opportunity to introduce ourselves and share how we're supporting other academic health systems to modernize their patient/clinician experience programs. We'd love to be part of the strategy conversation as you plan for 2025. Happy to elaborate on how other organizations are using our solutions to complement the programs they have in place with their legacy vendors. Are you open to connecting next week? Let us know! Lisa Hines [Follow-up] Hi Colleen, As mentioned, I'm hoping this is better timing to have an exploratory call to share how we're supporting other academic health systems to improve all aspects of the patient and family experience - quality of care, access, service delivery, etc. We'd love to chat with you about your priorities for 2025 and share some of the work we're doing with other PX leaders to pivot towards data-driven healthcare. Let me know when works best for you.",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Referral | David Turner, SVP of Technology (Cannabist Company) - referred by Jes",,,"Hi David, Jesse Channon referred you as the best point of contact to discuss Tech/Data improvements. Jesse has connected with our team in the past to explore solutions to collect data from BI, pharmacists, onboarding patients, CSAT, etc. Chandler and I oversee the potential Qualtrics-Cannabist Company relationship. We'd appreciate the opportunity to be part of the strategy discussion as you plan for 2025 and share how we're supporting other non-traditional retailers in a hybrid environment. Let me know if you'd be open to revisiting these conversations. Lisa Hines",,Retail / Cannabis,Lisa Hines
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Partnership | Jordan Bayless, CEO (Institute for Next Move Specialists) - new ac",,,"Hi Jordan, My name is Lisa and I am a part of the Institute for Next Move Specialists account team here at Qualtrics. I wanted to reach out to introduce you to your new account rep, Bri Rodrigues (CC'd here). From my notes, it looks like you connected with your past rep, Katelyn Hicks earlier this year. Given that some time has passed, Bri and I would love to connect to understand your current usage of the license and get a better understanding of your initiatives for 2025. Do you have any availability to connect later this week or next week? Best, Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Reconnection | David, Director of Call Center & Revenue Cycle - prior Nov convo",,,"Hey David, Great to e-meet you! My name is Lisa and I work alongside Sam here at Qualtrics. Based on my notes, you both had connected last Nov regarding some projects with Qualtrics including improving patient access, call center automation, and digital adoption. Qualtrics has made several changes in the past few years and I thought it would be beneficial for us to reconnect with you and see where things are today. Would you have 20 minutes next week to connect so we can realign?",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Intent - Demo Video View | Lisa Angwin, Business Director (Novo) - just called (",,,"Hi Lisa, Just gave you a call. I saw that you watched one of our demo videos, and wanted to introduce myself as an available resource/POC for you. I'd love to set up some time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 20 minutes this week or next? Can't wait to meet! Sara",,Life Sciences,Sara Ruelas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Set Meeting - Event Registration + Referral | Juliette Willard, Director of Even",,,"Hi Juliette, My name is Sophia and I assist the Nomi Health + Qualtrics relationship under Nick Hammond. Nick and I were supposed to meet with Amanda Tyler to go over resources from X4, and I noticed you were registered to attend as well. She let me know that she is no longer at Nomi, but that you would be the best POC to further the conversation. I won't pretend to all the ins-and-outs of your brand strategy, but we help build out holistic and proactive brand tracking programs measuring your brand's health (with competitor benchmarks) in real time. Our team would love to find time to discuss in more detail. Thanks, Sophia",,Healthcare,Sophia del Rosario
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Set Meeting - Content View | Kathy Tussey, CEO (Harrison Memorial Hospital)",,,"Hi Kathy, My name is Sophia and I support The Harrison Memorial Hospital Inc + Qualtrics relationship. I noticed you looked into some of our content on AI and VOC content, so I wanted to introduce myself as an available resource/POC for you. What projects are you working towards? I'd love to find time to connect and learn more about your interest and initiatives for the year. Our team would appreciate the opportunity to make introductions. What's your availability next week? Best, Sophia [Follow-up] Hi Kathy, As mentioned, we'd love to connect with you to share some strategies to support your initiatives and drive performance as you plan for 2025/2026. I've included some useful resources. Do you have 20 minutes for a strategic conversation this week?",,Healthcare,Sophia del Rosario
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Set Meeting - Content View | Ross Gagnon, Director of Customer Success & Strateg",,,"Hi Ross, My name is Sophia and I support the Natera, Inc. + Qualtrics relationship alongside Audrey McFall. I noticed you looked into some of our content recently, so I wanted to introduce myself as an available resource/POC for you. What projects are you working towards? I'd love to find time to connect and learn more about your interest and initiatives for the year. What's your availability next week? Best, Sophia",,Life Sciences,Sophia del Rosario
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),Set Meeting - Pricing Request | Payne,,,"Hi Payne, I'm reaching out to chat about your request for more Qualtrics pricing information. Our simple, usage-based pricing model enables you to be flexible with how you use Qualtrics and grow your programs without needing new contracts for each use-case you want to implement. What projects are you working towards? Thanks, Sophia [Follow-up] Hi Payne, Could we find some time this week to discuss your needs in more detail? Sophia",,Healthcare,Sophia del Rosario
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Set Meeting - Content View | Alison Ablan, Director of HR (Superior Ambulance) -",,,"Hi Alison, Just gave you a call. I saw that you checked out some of our content surrounding AI in relation to Human Connection, and wanted to introduce myself as an available resource/POC for you. I'd love to set up some time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 20 minutes this week to connect? Can't wait to meet! Sophia [Follow-up] Hi Alison, As we look toward the second half of the year, I'd love to make an introduction. Let me know what might work for you in the next week or two. And if there are any additional resources I could send over, let me know!",,Healthcare,Sophia del Rosario
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Follow-up | Lisa Rubino, Director of Patient Experience - advisory/thought leade",,,Lisa? Would love to connect with you with our advisory team for sharing of thought leadership from a patient experience perspective. Curious to learn more about your internal processes and initiatives for 2024. Would you be open to a conversation sometime in January? Kamryn Terch,,Healthcare,Kamryn Terch
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Demo Request Inbound | Nathan Forness, UX Research (Bayer) (replied)",,,"Hi Nathan, I'm reaching out in regards to your demo request of the Qualtrics platform. The platform accommodates a wide variety of use cases so I was hoping to learn more about your upcoming projects. Could you give me some background on what type of research or feedback program you're looking to run? Thanks, Sara",,Life Sciences,Sara Ruelas
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Demo Request Inbound | Sal Monaco, Director of Digital Innovation & Content Serv",,,"Hi Sal, I'm reaching out in regards to your demo request of the Qualtrics platform. The platform accommodates a wide variety of use cases so I was hoping to learn more about your upcoming projects. Could you give me some background on what type of research or feedback program you're looking to run? Thanks, Sara",,Life Sciences,Sara Ruelas
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),Inbound - Free Account | Daniela (Sanofi),,,"Hi Daniela, I was notified you made a free account. I support the partnership between Sanofi + Qualtrics and would love to be of help with some of the projects you're looking to run. Noticing your role -- we do quite a bit of work around gathering event feedback, improving talent pipeline, and more. Is this something you're focused on? Thanks, Haley",,Life Sciences,Haley Laufketter
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),Intent - Demo Video View | Ben (J&J) - prior colleague contact,,,"Hi Ben, I was notified you checked out one of our demos. As a member of the J&J - Qualtrics partnership team, I'd love to be of a resource in any way. I noticed you connected with some of my colleagues a few years back. Any interest in reconnecting over the partnership as well as innovation/pricing updates? Best, Haley Laufketter",,Life Sciences,Haley Laufketter
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Intent - Content View | Jonathan Hutter, Director of Brand & Marketing (Northern",,,"Hey Jonathan, I got a note from our system that you recently reviewed some of our content on leveraging AI in consumer research. I'd like to understand better what you were looking for. Was your interest primarily aligned with brand experience, market research, digital analytics, ad hoc surveying, etc? Michael and I are aligned with the Qualtrics-Northern Light Health relationship. We'd be happy to explore what you are looking to accomplish. Are you interested in unpacking how Qualtrics can help with your upcoming initiatives? Chat soon, Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Intent - Content View | Glen Howell, Director of Innovation & Technology - persi",,,"Hi Glen, Just gave you a call. I saw that you checked out some of our content on the future of customer experience and I wanted to introduce myself as an available resource/POC for you. I'd love to set up some time to make introductions, better understand your interests, and speak to Qualtrics in that context. Do you have 20 minutes next week? Can't wait to meet! Lisa Hines [Follow-up] Hey Glen, Wanted to get some more resources in your back pocket. Attached here is our Healthcare page- it includes a short demo, case studies, use cases, and some new e-books you might be interested in. Do you think Qualtrics may align with any of your upcoming initiatives? Thanks, Lisa [Follow-up] Hi Glen, I've been trying to connect over the last week or so- thanks for letting me live in your inbox for a bit. Let me know if the timing is off, there's limited budget, or you're using another vendor. Other folks have shared that having a no pressure, no commitment call can be helpful to see how Qualtrics may work in their realm. A lot of 2025 strategy conversations are beginning to take place, so this saves them time. Are you opposed to connecting for 15-20 minutes next week to see if a future conversation makes sense?",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Stephen Wickham, Director Clinical Performance Excellence - ED effici",,,"Hi Stephen, I really enjoyed reading about your approach to ED efficiency in the recent Becker's article. I was specifically intrigued by your dashboards and the framework you have in place for optimizing ED performance. We are working with other ambulatory leaders on improving many of the ED metrics mentioned (length of stay, wait times, throughput times, etc.) by integrating patient experience data with their clinical data. Our leadership would love to connect with you to gain your perspective on your data-driven approach to ED efficiency and share some strategies/thought leadership as well. Could we find a few minutes to connect, possibly the first or second week of April? Let me know, Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Suzy Jaeger, Chief Experience Officer - PX podcast/article",,,"Good Morning Suzy, I enjoyed listening to your work with patient and family experience on Beckers. You mentioned following up with families and using technology the right way, not as a crutch. I thought you might be interested in the work we are doing with Stanford, Intermountain, and University of Utah around closing the loop with patients. This actionability aligns with your strategy and vision for good. I attached an overview - have a look and if you're open to it, we'd be happy to show you how this can impact your organization. Best, Kevin Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Vicki Cansler, CHRO - Becker's list + peer proof (replied via exec)",,,"Hi Neil, My name is Leeanne and I recently sent Vicki a congratulatory email for making Becker's list of 84+ CHROs and Chief People Officers to know in 2024. We're working with other CHRO's on that list, such as Jennifer Berres of HCA and Heather Brace of Intermountain, and was hoping to schedule a time with Vicki to share how we've helped them modernize their employee experience programs. Do you think she'd be open to introductions and sharing of thought leadership? I'd be happy to coordinate with you for scheduling if so. Please let me know! Leeanne Gotcher",,Healthcare,Leeanne Gotcher
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Becker's | Terri Freely, CPO - Becker's list + peer proof (replied)",,,"Hi Terri, Congrats on being recognized as one of the top CPO's to know in 2024! We're working with other CPO's on that list, such as Jennifer Berres of HCA and Heather Brace of Intermountain, and would love to show how we've helped them innovate their employee listening programs. Curious to gain your perspective on EX as well. Let me know if you'd be open to mutual introductions with our leadership team. Leeanne Gotcher [Follow-up] Hi Terri, Just left you a message! Like I mentioned, we're working with some of your fellow CPOs on Becker's list to modernize their approach to the employee ex",,Healthcare,Leeanne Gotcher
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Jeff O'Neil, VP of Plant Operations (RWJBarnabas Health) - interview ",,,"Hi Jeffrey, I came across your interview on Becker's and you mention that succession planning and interacting with your clinicians from a client-first approach are currently top of mind for you. My colleague John and I manage the relationship between Qualtrics and RWJBarnabas Health. We're collaborating with other Operations Executives on modernizing healthcare experiences. We'd love to meet you to chat strategy. If you're open to it, I can send over some times for next week. Happy to coordinate with your admin. Let me know! Lisa Hines [Follow-up] Hi Jeffrey, As mentioned, I'm hoping to connect to learn more about your goals around succession planning, listening to clinicians, and creating safe working environments. We'd love to chat with you about your priorities for 2024 and share some of the work we're doing with other Operations leaders to improve clinical support services. Let me know when works best for you. Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Neil Gilchrist, VP of Pharmacy Business Operations (BILH) - interview",,,"Hi Neil, I came across your interview on Becker's Health and you mentioned that health equity and optimizing digital doors are a few of your top priorities this year. Michael and I are aligned with the Qualtrics-BILH relationship and we'd love to chat about strategies for improving digital resilience, outcomes, and access. Would love to connect at a time that works best for you. Happy to coordinate with your admin. Let us know! Lisa Hines [Follow-up] Hi Neil, As mentioned, I'm hoping to connect to learn more about your innovation roadmap and where we can support you in improving clinical programs and business development. We'd love to chat with you about your priorities for 2024 and share some of the work we're doing with other Operations leaders to drive an optimal digital experience for both patients and providers. Let me know when works best for you. Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Franziska Joven, CXO (Cooper Health) - Becker's list + peer proof",,,"Hi Jovin, Congrats on being recognized by Becker's as one of 54 CXOs to know in 2024! We're working with other CXOs on that list, such as Carol Campbell at Ascension and Alex Greengold at Memorial Hermann, and we would love to share how we've helped them innovate their patient/employee listening programs. John and I are aligned with the Qualtrics-Cooper Health relationship. We'd love to gain your perspective on modernizing healthcare experiences and learn more about the programs you've designed to drive engagement with patients and providers. Let me know if you'd be open to introductions with our leadership team. Happy to coordinate with your admin. Best, Lisa Hines [Follow-up] Hi Jovin, As mentioned, I'm hoping to connect to learn more about the programs you have in place to alleviate friction points across the end-to-end care journey for patients and employees. We'd love to chat with you about your priorities for 2024 and share some of the work we're doing with other CXOs to improve clinical outcomes and improve operating margins. Best, Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's | Raffael Torres, Chief Quality Officer (White Plains Hospital) - Becke",,,"Hi Rafael, Congrats on being recognized by Becker's as one of 90 patient safety experts to know in 2024! We're working with other PX leaders on that list, such as Heidi Wald at Intermountain Health and Donna Hahn at Geisinger, and we'd love to share how we've helped them to improve patient safety, reduce errors, ensure regulatory compliance, etc. Emily and I are aligned with the Qualtrics-White Plains Hospital Medical Center relationship. We'd love to gain your perspective on modernizing healthcare experiences and learn more about the programs you've designed to foster a culture of safety. Let me know if you'd be open to introductions with our leadership team. Happy to coordinate with your admin. Best, Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Becker's / Phone Follow-up | Michelle Wimes, SVP Chief Equity & Inclusion Office",,,"Hi Michelle, Thanks for taking my call and referring Diane as the best way to get on your calendar. As mentioned, I came across your Becker's interview and I'd love to hear more about your goals for enhancing workforce and community equity. Hannah and I lead the Qualtrics-CMH relationship. We'd appreciate the opportunity to introduce ourselves and share how we're supporting other Equity Leaders to create inclusive experiences and share a few strategies for deploying technologies to foster a culture of trust. Let me know what date/time works best at the end of August. Cheers, Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Event Speaker | Uli Stilz, Head of Bio-innovation Hub - speaking at HLTH, CMO in",,,"Hi Uli, I saw that you are speaking at HLTH next week - really exciting to hear! Dr. Adrienne Boissy, our Chief Medical Officer, will be there and we'd love to make introductions in person. Please let me know if there's a time that works for you, or if you'd prefer to set up a quick chat over coffee or during a break. Looking forward to hearing your presentation! Best, Sara",,Life Sciences,Sara Ruelas
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Event Speaker | Paul Limburg, Chief Medical Officer (Exact Sciences) - speaking ",,,"Hi Paul, I saw that you are speaking at ACHE 2025 Congress in a few weeks - really exciting to hear! I support the Exact Sciences + Qualtrics relationship and wanted to reach out on behalf of my team. We are unable to attend, but would love to connect to gain your unique perspective on leveraging patient insights to improve patient safety. Happy to share how we're working with other Chief Medical Officers to drive quality improvement and real-time safety reporting. Would you have 20 mins to connect sometime in the next week or so? Let me know, Sara",,Life Sciences,Sara Ruelas
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's Presentation | Brian Stein, Chief Quality Officer (Rush) - spoke at Bec",,,"Hi Brian- Hope all is well since your presentation last week. I work alongside Sam Gonzalez to oversee the partnership between Rush and Qualtrics. We weren't able to attend but noticed you spoke on a few strategies to advance quality and safety in the years ahead. Would love to continue the conversation and share a few strategies teams like Tufts and the Mayo Clinic are leveraging to deliver new care models that drive clinical value, quality outcomes, and proactive performance improvement. Are you open to connecting this week or next? Best, Sebastian",,Healthcare,Sebastian Beltran
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Becker's Presentation | James Blum, Chief Health Information Officer (UIHC) - AI",,,"Hi James, My name is Sebastian and I work alongside Jace Welk to oversee the relationship between UIHC and Qualtrics. We work with leaders at the intersection of clinical service and technology for teams like the Mayo Clinic and Tufts, to improve performance, adapt to industry challenges, and position the health system for future success. Happy to introduce ourselves, get to know your world a bit better, and perhaps share a few strategies around your AI and Care Technology presentations at Becker's in October. Let me know when your schedule allows for it. Sebastian",,Healthcare,Sebastian Beltran
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Event Invitation | Raj Sundar, District Medical Director - speaking at HLTH, CMO",,,"Hi Raj, I saw that you are speaking at HLTH next week - really exciting to hear! Dr. Adrienne Boissy, our Chief Medical Officer, will be there and we'd love to make introductions in person. Please let me know if there's a time that works for you, or if you'd prefer to set up a quick chat over coffee or during a break. Looking forward to hearing your presentation! Best, Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Event Speaker (LinkedIn) | Ashley Vertuno, CEO (HCA) - speaking at ACHE (replied",,,"Hi Ashley, thanks for connecting! I saw you are speaking at ACHE in a few weeks - very exciting! I support the HCA + Qualtrics relationship - my team and I are unable to attend the conference, but would love to connect with you to gain your unique perspective on developing high-performing physicians and share some ways we are working with others in enabling and equipping care givers. Would a time next week work for you to connect for 20 mins? Let me know, Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Event Speaker | Andrea Wary, VP of Operations (Geisinger) - speaking at ACHE (re",,,"Hi Andrea, I saw that you are speaking at ACHE 2025 Congress in a few weeks - really exciting to hear! I support the Geisinger + Qualtrics relationship and wanted to reach out on behalf of my team. We are unable to attend, but would love to connect to gain your unique perspective on employee mentorship and developing high performing teams. Happy to share how we're working with other Healthcare Executives as well to drive employee engagement, satisfaction, etc. through modern employee listening tools. Would you have 20 mins to connect sometime in the next week or so? Let me know, Mikaila [Follow-up] Happy to clarify - we provide a variety of feedback/listening tools within the healthcare space, including patient feedback, employee/nurse feedback, market insights, and others. We are currently working with the Geisinger digital team in collecting digital patient experience insights. My team and I would love to connect to make introductions, elaborate on our current partnership, and share how we are supporting other Healthcare Operations Executives. Would you have 20 mins to connect over the next week or so?",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Event Speaker | Myia Williams, Director of EX (Northwell) - speaking at Becker's",,,"Hi Myia, I noticed you're speaking at Becker's Annual Conference in a few weeks - really exciting to hear! I support the Northwell + Qualtrics relationship and wanted to reach out on behalf of my team. We are unable to attend, but would love to connect to gain your unique perspective on enhancing employee well-being. Happy to share how we're working with other EX leaders as well to improve employee satisfaction, engagement, mitigate burnout, etc. Would you have 20 mins to connect sometime in the next week or so? Let me know, Mikaila [Follow-up] Hi Myia, Thank you for the note back and appreciate the transparency! Completely understand not currently looking for new vendors right now - we would still love to connect with you to make introductions and would be happy to share some thought leadership/best practices we are using with other EX leaders to support your initiatives. I've been following your recent LinkedIn posts and reached out to you specifically due to your commitment to development and continually enhancing the employee experience. It's always great to share ideas with forward-thinking leaders! Would you have some availability to connect the week of April 21?",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Just Called | Barb Bobula, VP of Patient Experience (Highmark) - spoke at NGPX, ",,,"Hey Barbara, Just left you a message. I saw you spoke at NGPX last week and might have connected with my colleague Dr. Boissy. We'd love to chat with you about your initiatives for 2024 and what we currently work on with Highmark. Would you be open to a conversation before the end of the year? Best, Kevin Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Conference | Dr. Zafar Chaudry, Chief Information & Digital Officer - spoke at H",,,"Hi Dr. Chaudry, I noticed that you spoke along side Dr. McGill from CHN and Craig from Intermountain at the Hyro summit. We are currently partnering with both of these organizations on improving their patient experience through real-time feedback and action oriented workflows. I've attached a couple videos and a case study on our work with them. We'd love to share some of this work and learn more about your initiatives. If you're open to it, I can work with your EA to schedule a time next month. Best, Kevin Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Webinar Follow-up | Nanda Bhikhari, Director of Employee Engagement (Northwester",,,"Hi Nanda- Hope all is well since you attended our Healthcare Trends Webinar. I hope it was insightful in guiding your mission. By way of brief introduction, I work alongside Sam Gonzalez to oversee the relationship between Northwestern and Qualtrics. Would love to continue the conversation and share a few strategies teams like the Mayo Clinic and Intermountain Health are leveraging to drive team member engagement and proactively identify areas of improvement. Are you open to connecting this Friday? Best, Sebastian",,Healthcare,Sebastian Beltran
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"Event Invitation | Sherry Ward, VP of Total Rewards (Corewell) - Cardinals netwo",,,"Hi Sherry, We haven't met yet, but I support the Corewell + Qualtrics relationship. I noticed you are based in the St. Louis area and wanted to personally reach out and extend an invitation to our upcoming St. Louis Cardinals vs. Cincinnati Reds networking event! We've got a private diamond suite at Busch Stadium (including food and beverages) as well as networking with other experience management leaders in healthcare. Event Details: Cardinals vs. Reds @ Busch Stadium, Thursday September 12th, 11:30am-2:30pm CT. Spots are limited, so please register here. If you are interested and able to attend, I'm happy to send over additional information. All the best! Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Webinar Follow-up | Tiffinee Swanson, Director of Talent Development (Mayo) - mi",,,"Hi Tiffinee, We haven't met yet, but I support the Mayo + Qualtrics relationship. I noticed you were unable to attend our webinar recently regarding technology & the future of work and wanted to reach out! We'd be happy to connect with you to give you a recap / share the highlights from the webinar, and discuss how we are helping other organizations improve employee engagement and assurance surrounding AI. Let me know if you have a few minutes, either at the end of this week or next. Mikaila",,Healthcare,Mikaila Corrigan
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Event Follow-up | Elena Gonzalez, Patient Experience Manager (El Camino Health) ",,,"Hi Elena, We haven't had the chance to meet yet, but Rebecca and I are aligned to support the El Camino Health -- Qualtrics relationship. Christina Cunningham recently attended our Healthcare Executive Forum and we'd love to catch you up on some of the topics discussed with her. Also noticed your previous professional experience at Stanford and wanted to share some of the work we're doing with them to modernize their PX program. Happy to connect at a time that works best for you. Let me know! Kamryn Terch",,Healthcare,Kamryn Terch
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Event Follow-up | Jesse Longoria, VP of Strategy (OhioHealth) - HLTH + CEO quote",,,"Hi Jesse - I've been following OhioHealth and your work building innovative ecosystems and partnerships. I heard Michael Krouse mention achieving a level of efficiency that gets us to a place where our people can focus on patient care, and the ecosystem can offer the experience of care that looks like other industries in his long term vision. We'd love to connect with you at HLTH on partnering to modernize your approach to patient experience with real-time, actionable insights across all patient interactions with your system. We currently work with your partner ChenMed and 80% of the fortune 100 for customer experience. Let me know if you have a few minutes to chat. Best, Kevin Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Conference Follow-up | Kim Henderson, CXO & Jill Mabry, VP PX - X4 recap (replie",,,"Hi Kim, Last week, we hosted healthcare leaders at our X4 Experience Management conference. There was a wealth of knowledge and insights from Trinity, TPMG, Memorial Hermann, Intermountain, Stanford, and Providence. Their contributions have sparked conversations on the future of healthcare and the modernization of PX. Would you be open to hearing more about the presentations or connecting with some of our leaders? Either way, I figured options have value. Best, Kevin Cull",,Healthcare,Kevin Cull
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Event Follow-up | Kristin Maier, Director of Patient Relations & Guest Services ",,,"Hi Kristin, Thank you for joining Qualtrics last Wednesday at our dinner at Rhein Haus! I support Damon Brooks, who manages the Tampa General and Qualtrics relationship. We'd love to continue the PX conversation and set up a time to learn more about your initiatives + share what we're working on with other health systems in Florida. Do you have a few minutes next week or the following to chat? Have a great weekend! Leeanne",,Healthcare,Leeanne Gotcher
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Event Follow-up | Mikayla Bennett, Patient Experience (Centra Health) - dinner (",,,"Hi Mikayla, I hope you've recovered from your travels to Denver! Thanks for joining Qualtrics last Wednesday at our dinner at Rhein Haus! I support Lori Trent, who manages the Centra Health and Qualtrics relationship. We'd love to continue the PX conversation and set up a time to learn more about your initiatives + share what we're working on with other health systems in Virginia. Do you have a few minutes next week or the following to chat? Have a great weekend! Leeanne Gotcher",,Healthcare,Leeanne Gotcher
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Event Invitation | Kelli White, Director of Learning Operations (Wellstar) - X4 ",,,"Hi All- Our X4 Summit is back for 2024 at the Salt Palace Convention Center in Salt Lake City, UT. 10 execs from Wellstar will be joining us and I don't want you to miss out! Understanding the constraints on everyone's time and resources, I'm excited to offer complimentary admission codes to our summit for you and your team, if you're able to commit to attending! From May 1-3, 2024, you'll have the opportunity to experience a curated healthcare track with over 80 sessions, be among the first to see the latest XM innovations, and attend 10 Mainstage Keynotes (including Michelle Obama, Mira Murati, Ed Bastian, Chris Nassetta, and more). Click here to learn more. If you're interested, let me know and I'd be happy to give you the breakdown. We'd love to host you! Leeanne Gotcher",,Healthcare,Leeanne Gotcher
15 - Source Email (categorized winner),F2 Reconnect / New POC,Webinar Follow-up | Ebony - Providence DE&I webinar + prior Boston Scientific co,,,"Hi Ebony, Earlier this week, we hosted a webinar with Providence to discuss how they're redefining the employee + customer/patient experience by addressing equity gaps. Given your passion for driving DE&I and Wellbeing, Will Krohn and I would love the opportunity to connect over how we can be of a resource to you. I noticed you've been involved in Boston Scientific - Qualtrics conversations already, so please let me know if your calendar allows! Thanks, Haley Laufketter",,Life Sciences,Haley Laufketter
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Event Invitation | Susan Osborn - Beryl Institute Elevate PX dinner (replied),,,"Hello Susan, Chandler and I are aligned with the Qualtrics-HHCS relationship. If you're attending The Beryl Institute's Elevate PX, I'd love for you to join our dinner. [Follow-up] Susan, We'd be happy to host your friend as well if that's of interest. Alternatively, perhaps we can connect via Zoom for an informal chat sometime this week? Lisa Hines",,Healthcare,Lisa Hines
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"Sixth Sense - Intent | Joshua Emdur, Chief Medical Officer (Village Medical) - m",,,"Hi Josh, My name is Sophia and I assist the Village Medical + Qualtrics relationship alongside Andrew Armada. I noticed various people from your company looking into patient experience, so I wanted to send over a brief note. Other PX leaders are leveraging our platform to go beyond surveys by tapping into data at every step along the patient journey (from setting appointments to post-treatment follow-up). From there, our technology analyzes the data and presents it back in a way that helps your organization take action to drive metrics like NPS, CAHPS scores, and patient satisfaction. We'd be happy to share some success stories from nearby health systems. Would you be open to mutual introductions as you prepare for the rest of 2025? Sophia",,Healthcare,Sophia del Rosario
